HALE,Country,Year,Sex,Age Expectancy,Latitude,Longitude
Healthy life expectancy (HALE) at birth (years),Tonga,2019,Both sexes,64.0,-20.0,-175.0
Healthy life expectancy (HALE) at birth (years),Trinidad and Tobago,2019,Male,64.0,11.0,-61.0
Healthy life expectancy (HALE) at birth (years),Guatemala,2019,Female,64.1,15.5,-90.25
Healthy life expectancy (HALE) at birth (years),Bangladesh,2019,Male,64.2,24.0,90.0
Healthy life expectancy (HALE) at birth (years),Russian Federation,2019,Both sexes,64.2,60.0,100.0
Healthy life expectancy (HALE) at birth (years),Suriname,2019,Female,64.2,4.0,-56.0
Healthy life expectancy (HALE) at birth (years),Bangladesh,2019,Both sexes,64.3,24.0,90.0
Healthy life expectancy (HALE) at birth (years),Mexico,2019,Male,64.3,23.0,-102.0
Healthy life expectancy (HALE) at birth (years),Romania,2019,Male,64.3,46.0,25.0
Healthy life expectancy (HALE) at birth (years),Turkmenistan,2019,Female,64.3,40.0,60.0
Healthy life expectancy (HALE) at birth (years),Ukraine,2019,Both sexes,64.3,49.0,32.0
Healthy life expectancy (HALE) at birth (years),Bahamas,2019,Both sexes,64.4,24.25,-76.0
Healthy life expectancy (HALE) at birth (years),Bangladesh,2019,Female,64.4,24.0,90.0
Healthy life expectancy (HALE) at birth (years),Saudi Arabia,2019,Female,64.4,25.0,45.0
Healthy life expectancy (HALE) at birth (years),Venezuela (Bolivarian Republic of),2019,Both sexes,64.4,,
Healthy life expectancy (HALE) at birth (years),Malaysia,2019,Male,64.5,2.5,112.5
Healthy life expectancy (HALE) at birth (years),Oman,2019,Female,64.5,21.0,57.0
Healthy life expectancy (HALE) at birth (years),Oman,2019,Male,64.5,21.0,57.0
Healthy life expectancy (HALE) at birth (years),Paraguay,2019,Male,64.5,-23.0,-58.0
Healthy life expectancy (HALE) at birth (years),Republic of Moldova,2019,Both sexes,64.5,,
Healthy life expectancy (HALE) at birth (years),Georgia,2019,Both sexes,64.7,42.0,43.5
Healthy life expectancy (HALE) at birth (years),Oman,2019,Both sexes,64.7,21.0,57.0
Healthy life expectancy (HALE) at birth (years),Saint Lucia,2019,Both sexes,64.7,13.88,-61.13
Healthy life expectancy (HALE) at birth (years),Uzbekistan,2019,Both sexes,64.7,41.0,64.0
Healthy life expectancy (HALE) at birth (years),Cabo Verde,2019,Both sexes,64.8,,
Healthy life expectancy (HALE) at birth (years),Armenia,2019,Male,64.9,40.0,45.0
Healthy life expectancy (HALE) at birth (years),El Salvador,2019,Both sexes,64.9,13.83,-88.92
Healthy life expectancy (HALE) at birth (years),Libya,2019,Male,64.9,,
Healthy life expectancy (HALE) at birth (years),Democratic People's Republic of Korea,2019,Both sexes,65.0,,
Healthy life expectancy (HALE) at birth (years),Hungary,2019,Male,65.0,47.0,20.0
Healthy life expectancy (HALE) at birth (years),Kazakhstan,2019,Both sexes,65.0,48.0,68.0
Healthy life expectancy (HALE) at birth (years),Lebanon,2019,Male,65.1,33.83,35.83
Healthy life expectancy (HALE) at birth (years),The former Yugoslav Republic of Macedonia,2019,Male,65.1,,
Healthy life expectancy (HALE) at birth (years),Qatar,2019,Female,65.1,25.5,51.25
Healthy life expectancy (HALE) at birth (years),Saint Vincent and the Grenadines,2019,Female,65.1,13.25,-61.2
Healthy life expectancy (HALE) at birth (years),Sri Lanka,2019,Male,65.1,7.0,81.0
Healthy life expectancy (HALE) at birth (years),Azerbaijan,2019,Female,65.2,40.5,47.5
